addr,instl_cnt,lat,lon
경기도 가평군 가평읍 달전리426-14,1,37.815491,127.514656
경기도 가평군 가평읍 달전리435-8,1,37.81456,127.51474
경기도 가평군 가평읍 달전리436-1,1,37.814106,127.514778
경기도 가평군 가평읍 달전리452-6,1,37.813602,127.514809
경기도 가평군 가평읍 달전리630-22,1,37.814812,127.506353
경기도 가평군 가평읍 달전리660-2,1,37.813934,127.505333
경기도 가평군 가평읍 상색리73-8,1,37.803303,127.493042
경기도 가평군 가평읍 달전리271-6,1,37.811768,127.522286
경기도 가평군 가평읍 달전리270-3,1,37.811848,127.522438
경기도 가평군 가평읍 달전리256-1,1,37.811897,127.521492
경기도 가평군 가평읍 달전리283-1,1,37.812267,127.52121
경기도 가평군 가평읍 달전리283-1,1,37.81258,127.52092
경기도 가평군 가평읍 달전리284-3,1,37.813152,127.520287
경기도 가평군 가평읍 달전리333-1,1,37.813267,127.520004
경기도 가평군 가평읍 달전리281,1,37.813675,127.519699
경기도 가평군 가평읍 달전리279-11,1,37.81414,127.52002
경기도 가평군 가평읍 달전리278-1,1,37.814282,127.5205
경기도 가평군 가평읍 달전리279-5,1,37.813889,127.519325
경기도 가평군 가평읍 달전리338-5,1,37.814331,127.518456
경기도 가평군 가평읍 달전리339-1,1,37.814812,127.517921
경기도 가평군 가평읍 달전리389-2,1,37.81517,127.517296
경기도 가평군 가평읍 달전리386-3,1,37.815785,127.517548
경기도 가평군 가평읍 달전리384-2,1,37.816372,127.517555
경기도 가평군 가평읍 달전리390-2,1,37.815472,127.516541
경기도 가평군 가평읍 달전리641,1,37.815636,127.515869
경기도 가평군 가평읍 달전리639,1,37.815971,127.515343
경기도 가평군 가평읍 달전리404-26,1,37.816517,127.515183
경기도 가평군 가평읍 달전리403-2,1,37.81678,127.515526
경기도 가평군 가평읍 달전리333-1,1,37.813297,127.51915
경기도 가평군 가평읍 달전리334-11,1,37.813576,127.519203
경기도 가평군 가평읍 달전리291-8,1,37.81303,127.51902
경기도 가평군 가평읍 달전리335-1,1,37.813599,127.518768
경기도 가평군 가평읍 달전리335-7,1,37.813812,127.518204
경기도 가평군 가평읍 달전리336-3,1,37.814083,127.517685
경기도 가평군 가평읍 달전리456,1,37.81414,127.517204
경기도 가평군 가평읍 달전리455,1,37.814304,127.516563
경기도 가평군 가평읍 달전리395-8,1,37.81422,127.516007
경기도 가평군 가평읍 달전리453-1,1,37.814308,127.515457
경기도 가평군 가평읍 달전리452-16,1,37.813534,127.515007
경기도 가평군 가평읍 달전리452-3,1,37.813877,127.514977
경기도 가평군 가평읍 달전리452-9,1,37.814331,127.514938
경기도 가평군 가평읍 달전리398-5,1,37.814758,127.514908
경기도 가평군 가평읍 달전리435-4,1,37.815197,127.514885
경기도 가평군 가평읍 달전리426-5,1,37.815674,127.514839
경기도 가평군 가평읍 달전리422-1,1,37.816113,127.514801
경기도 가평군 가평읍 달전리405-1,1,37.816521,127.514771
경기도 가평군 가평읍 달전리637,1,37.817013,127.514748
경기도 가평군 가평읍 달전리405-17,1,37.816834,127.51416
경기도 가평군 가평읍 달전리405-3,1,37.816696,127.51329
경기도 가평군 가평읍 달전리405-105,1,37.816662,127.512901
경기도 가평군 가평읍 달전리614-4,1,37.816574,127.511841
경기도 가평군 가평읍 달전리405-41,1,37.816437,127.510277
경기도 가평군 가평읍 달전리630-33,1,37.816216,127.508858
경기도 가평군 상면 항사리322,1,37.790726,127.369377
경기도 가평군 상면 항사리133-3,1,37.79081,127.370163
경기도 가평군 상면 항사리129-1,1,37.789688,127.370697
경기도 가평군 상면 항사리137,1,37.790108,127.371445
경기도 가평군 상면 항사리139-14,1,37.790871,127.372177
경기도 가평군 상면 항사리677-1,1,37.791664,127.372536
경기도 가평군 상면 항사리123,1,37.788773,127.371208
경기도 가평군 상면 항사리110-2,1,37.787922,127.371719
경기도 가평군 상면 항사리109-3,1,37.787384,127.372131
경기도 가평군 상면 항사리108-2,1,37.787682,127.372818
경기도 가평군 상면 항사리104,1,37.787518,127.37336
경기도 가평군 상면 항사리693,1,37.786987,127.373207
경기도 가평군 상면 항사리104-12,1,37.787376,127.375229
경기도 가평군 상면 항사리694,1,37.786839,127.374031
경기도 가평군 상면 항사리695,1,37.786175,127.374809
경기도 가평군 상면 행현리205,1,37.773716,127.363709
경기도 가평군 청평면 청평리61-7,1,37.727835,127.415271
경기도 가평군 청평면 청평리717-1,1,37.727891,127.414653
경기도 가평군 청평면 청평리68-3,1,37.728999,127.415131
경기도 가평군 청평면 청평리69-1,1,37.729866,127.416344
경기도 가평군 청평면 청평리69-10,1,37.730145,127.41738
경기도 가평군 청평면 청평리714-1,1,37.727934,127.414069
경기도 가평군 청평면 청평리711-7,1,37.727958,127.413516
경기도 가평군 청평면 청평리710-11,1,37.727992,127.412921
경기도 가평군 청평면 상천리1697,1,37.775243,127.457394
경기도 가평군 청평면 청평리706-38,1,37.728,127.412419
경기도 가평군 청평면 청평리823,1,37.72942,127.407021
경기도 가평군 청평면 대성리산208,1,37.728524,127.406861
경기도 가평군 청평면 대성리산8-4,1,37.72876,127.405846
경기도 가평군 청평면 대성리산8-4,1,37.729122,127.404884
경기도 가평군 청평면 대성리2,1,37.729891,127.404369
경기도 가평군 청평면 대성리660,1,37.730598,127.402954
경기도 가평군 청평면 대성리산13-1,1,37.731322,127.402316
경기도 가평군 청평면 상천리408-1,1,37.775864,127.457565
경기도 가평군 청평면 대성리산13-1,1,37.731602,127.401886
경기도 가평군 청평면 청평리산15-5,1,37.728607,127.407082
경기도 가평군 청평면 대성리산4-1,1,37.72818,127.407234
경기도 가평군 청평면 대성리산208,1,37.728005,127.407288
경기도 가평군 청평면 대성리산8-7,1,37.727634,127.407433
경기도 가평군 청평면 대성리산8-8,1,37.727329,127.407824
경기도 가평군 청평면 대성리산8-7,1,37.726902,127.407791
경기도 가평군 청평면 대성리산8-7,1,37.726587,127.407488
경기도 가평군 청평면 대성리14-8,1,37.726119,127.4067
경기도 가평군 청평면 대성리산8-16,1,37.726316,127.407059
경기도 가평군 청평면 상천리산143,1,37.776236,127.457324
경기도 가평군 상면 항사리454-9,1,37.789982,127.363556
경기도 가평군 상면 항사리669-7,1,37.79245,127.36647
경기도 가평군 상면 항사리266-1,1,37.792847,127.367455
경기도 가평군 상면 항사리266,1,37.793037,127.367836
경기도 가평군 상면 항사리306,1,37.793648,127.369225
경기도 가평군 상면 항사리651,1,37.794254,127.36985
경기도 가평군 상면 항사리643,1,37.794769,127.370232
경기도 가평군 상면 항사리273-1,1,37.795261,127.370331
경기도 가평군 상면 항사리273-1,1,37.795765,127.370575
경기도 가평군 상면 항사리산32-2,1,37.796879,127.395241
경기도 가평군 상면 항사리19-10,1,37.793816,127.393692
경기도 가평군 상면 항사리303-2,1,37.79237,127.366867
경기도 가평군 상면 항사리303-7,1,37.792076,127.365936
경기도 가평군 상면 항사리672,1,37.791367,127.365448
경기도 가평군 상면 항사리296,1,37.790436,127.364334
경기도 가평군 상면 항사리699,1,37.789787,127.363678
경기도 가평군 상면 항사리447,1,37.788643,127.363556
